Customer ID,TotalSpend,PurchaseFrequency,AvgSpend,CategoryDiversity,Recency,Label
10195,2732.75,17,160.75,10,1,Budget
10196,3732.69,15,248.846,11,33,Impulsive
10197,2770.98,12,230.915,10,21,Budget
10198,3862.78,17,227.2223529411765,10,9,Impulsive
10199,1724.42,11,156.76545454545456,8,133,Budget
10200,2641.15,10,264.115,7,28,Budget
10201,5279.13,20,263.9565,11,8,Premium
10202,4672.66,20,233.63299999999998,10,15,Impulsive
10203,3857.25,14,275.51785714285717,11,7,Impulsive
10204,3087.23,13,237.47923076923078,10,63,Budget
10205,3441.93,10,344.193,6,28,Budget
10206,5176.2300000000005,18,287.5683333333334,12,32,Impulsive
10207,3051.9700000000003,16,190.74812500000002,11,14,Budget
10208,7123.63,21,339.2204761904762,12,10,Premium
10209,4279.11,15,285.274,12,30,Impulsive
10210,2754.0499999999997,15,183.60333333333332,12,13,Budget
10211,3392.6400000000003,13,260.9723076923077,12,5,Budget
10212,3294.1299999999997,11,299.4663636363636,8,39,Budget
10213,2847.8199999999997,18,158.2122222222222,12,7,Budget
10214,6451.56,26,248.1369230769231,14,1,Premium
10215,6110.65,21,290.9833333333333,10,13,Premium
10216,3935.79,18,218.655,13,25,Impulsive
10217,4999.65,19,263.1394736842105,11,5,Premium
10218,5010.86,20,250.54299999999998,13,10,Premium
10219,2012.21,11,182.92818181818183,7,38,Budget
10220,4466.48,20,223.32399999999998,15,12,Impulsive
10221,4315.65,15,287.71,10,42,Impulsive
10222,4342.89,18,241.27166666666668,11,36,Impulsive
10223,4967.59,19,261.4521052631579,12,36,Premium
10224,4223.14,19,222.27052631578948,13,5,Impulsive
10225,3930.4900000000002,15,262.03266666666667,10,24,Impulsive
10226,4280.63,19,225.29631578947368,11,13,Impulsive
10227,5596.13,23,243.31,13,5,Premium
10228,4122.61,16,257.663125,10,9,Impulsive
10229,5838.51,18,324.3616666666667,12,3,Impulsive
10230,3643.27,13,280.2515384615385,8,17,Impulsive
10231,3611.83,16,225.739375,11,37,Impulsive
10232,6096.33,13,468.9484615384615,10,8,Impulsive
10233,5565.7699999999995,21,265.03666666666663,13,3,Premium
10234,1984.4099999999999,10,198.44099999999997,8,90,Budget
10235,3882.4500000000003,15,258.83000000000004,11,6,Impulsive
10236,3812.13,13,293.2407692307692,9,55,Impulsive
10237,7381.43,25,295.2572,12,9,Premium
10238,3368.63,12,280.7191666666667,10,3,Budget
10239,7758.89,24,323.2870833333333,14,9,Premium
10240,2576.35,11,234.21363636363637,10,29,Budget
10241,3898.9700000000003,14,278.4978571428572,10,9,Impulsive
10242,4752.22,20,237.61100000000002,12,5,Impulsive
10243,2770.58,13,213.12153846153845,9,29,Budget
10244,3143.46,9,349.2733333333333,8,4,Budget
10245,2750.59,14,196.4707142857143,11,50,Budget
10246,5150.84,21,245.27809523809523,11,8,Premium
10247,6636.35,23,288.53695652173917,13,4,Premium
10248,3052.75,13,234.82692307692307,9,50,Budget
10249,3412.55,14,243.75357142857143,11,7,Budget
10250,5517.990000000001,15,367.86600000000004,9,21,Impulsive
10251,3648.18,20,182.409,12,24,Impulsive
10252,3962.79,16,247.674375,12,6,Impulsive
10253,2542.19,14,181.585,8,61,Budget
10254,4411.42,15,294.0946666666667,11,78,Impulsive
10255,3245.3199999999997,12,270.4433333333333,7,65,Budget
10256,4133.7300000000005,18,229.6516666666667,12,27,Impulsive
10257,2273.52,13,174.88615384615383,11,45,Budget
10258,3822.6800000000003,15,254.84533333333334,9,43,Impulsive
10259,3719.35,13,286.1038461538461,9,30,Impulsive
10260,4728.88,23,205.60347826086957,12,8,Impulsive
10261,2854.96,13,219.6123076923077,9,19,Budget
10262,5196.95,16,324.809375,10,5,Impulsive
10263,3401.95,10,340.195,8,25,Budget
10264,8187.79,26,314.915,13,21,Premium
10265,2638.28,12,219.85666666666668,9,27,Budget
10266,3685.2200000000003,15,245.68133333333336,11,10,Impulsive
10267,4037.8599999999997,19,212.51894736842104,13,12,Impulsive
10268,6232.94,22,283.31545454545454,16,1,Premium
10269,4660.17,19,245.2721052631579,12,10,Impulsive
10270,2868.22,14,204.87285714285713,9,19,Budget
10271,7437.91,22,338.08681818181816,14,1,Premium
10272,3151.68,12,262.64,11,58,Budget
10273,6796.58,25,271.8632,12,19,Premium
10274,2944.5299999999997,10,294.453,8,8,Budget
10275,5233.16,16,327.0725,10,65,Impulsive
10276,3821.2799999999997,12,318.44,9,48,Impulsive
10277,5057.94,21,240.8542857142857,11,7,Premium
10278,5535.97,18,307.5538888888889,10,37,Impulsive
10279,4126.45,14,294.74642857142857,9,76,Impulsive
10280,4352.25,17,256.0147058823529,14,5,Impulsive
10281,3154.35,15,210.29,11,53,Budget
10282,4995.93,19,262.9436842105263,12,25,Premium
10283,7370.64,24,307.11,13,62,Premium
10284,3696.6099999999997,17,217.44764705882352,13,24,Impulsive
10285,5043.82,20,252.19099999999997,13,23,Premium
10286,3117.29,15,207.81933333333333,11,29,Budget
10287,3892.58,14,278.0414285714286,11,2,Impulsive
10288,6657.5,28,237.76785714285714,16,1,Premium
10289,5652.38,19,297.49368421052634,11,2,Premium
10290,3573.88,16,223.3675,14,50,Budget
10291,2897.86,17,170.46235294117648,12,16,Budget
10292,4210.15,17,247.65588235294115,11,65,Impulsive
10293,5560.29,21,264.7757142857143,13,5,Premium
10294,4573.95,18,254.10833333333332,14,5,Impulsive
10295,4584.29,17,269.66411764705884,14,39,Impulsive
10296,3175.4500000000003,16,198.46562500000002,11,12,Budget
10297,1383.21,5,276.642,5,81,Budget
10298,2775.81,11,252.34636363636363,9,40,Budget
10299,2940.95,11,267.35909090909087,8,8,Budget
10300,2635.43,9,292.8255555555555,8,51,Budget
