Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID
INV518373,S0009,JAM MAKING SET WITH JARS,12,2024-08-12,45.03,10089
INV226882,S0014,DOORMAT NEW ENGLAND,8,2024-04-25,3.67,10014
INV716886,S0000,WHITE HANGING HEART T-LIGHT HOLDER,18,2024-04-27,29.63,10242
INV174441,S0000,WHITE HANGING HEART T-LIGHT HOLDER,2,2024-04-27,3.84,10265
INV446479,S0001,REGENCY CAKESTAND 3 TIER,3,2024-09-20,12.28,10053
INV324643,S0015,SET 2 TEA TOWELS I LOVE LONDON,18,2024-03-08,36.31,10092
INV704201,S0018,BROCADE RING PURSE,16,2024-05-04,39.34,10264
INV299659,S0013,BATH BUILDING BLOCK WORD,4,2024-02-19,33.12,10035
INV544154,S0011,ALARM CLOCK BAKELIKE GREEN,14,2024-08-27,43.26,10206
INV806073,S0001,REGENCY CAKESTAND 3 TIER,4,2024-02-01,20.43,10081
INV939482,S0010,RED WOOLLY HOTTIE WHITE HEART,4,2024-05-07,9.98,10050
INV570405,S0017,PAPER CHAIN KIT 50S CHRISTMAS,5,2024-08-04,9.58,10002
INV361941,S0014,DOORMAT NEW ENGLAND,3,2024-08-14,40.5,10054
INV202664,S0017,PAPER CHAIN KIT 50S CHRISTMAS,2,2024-11-29,49.96,10106
INV197793,S0000,WHITE HANGING HEART T-LIGHT HOLDER,8,2024-03-26,20.62,10260
INV324130,S0015,SET 2 TEA TOWELS I LOVE LONDON,13,2024-01-31,8.65,10191
INV509386,S0000,WHITE HANGING HEART T-LIGHT HOLDER,9,2024-08-20,14.62,10218
INV794022,S0017,PAPER CHAIN KIT 50S CHRISTMAS,16,2024-03-20,9.9,10044
INV161324,S0006,WOODEN PICTURE FRAME WHITE FINISH,19,2024-10-04,3.52,10162
INV159942,S0010,RED WOOLLY HOTTIE WHITE HEART,2,2024-10-26,24.1,10202
INV265080,S0016,VINTAGE BILLBOARD DRINK ME MUG,2,2024-09-17,4.47,10270
INV171849,S0005,SET OF 3 CAKE TINS PANTRY DESIGN,20,2024-02-04,33.92,10271
INV523389,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,4,2024-10-18,12.69,10215
INV141672,S0019,MINI PAINT SET VINTAGE,20,2024-02-11,21.25,10252
INV692683,S0018,BROCADE RING PURSE,17,2024-06-10,46.77,10190
INV802258,S0006,WOODEN PICTURE FRAME WHITE FINISH,11,2024-05-02,13.65,10296
INV804318,S0004,LUNCH BAG RED RETROSPOT,10,2024-08-22,16.15,10213
INV109767,S0002,JUMBO BAG RED RETROSPOT,15,2024-11-14,49.92,10208
INV176819,S0003,PARTY BUNTING,18,2024-04-19,25.54,10237
INV465962,S0004,LUNCH BAG RED RETROSPOT,3,2024-05-05,18.79,10053
INV559469,S0005,SET OF 3 CAKE TINS PANTRY DESIGN,18,2024-12-26,15.47,10280
INV108203,S0016,VINTAGE BILLBOARD DRINK ME MUG,18,2024-06-02,46.62,10217
INV240814,S0003,PARTY BUNTING,9,2024-02-29,44.54,10252
INV262998,S0017,PAPER CHAIN KIT 50S CHRISTMAS,9,2024-05-24,30.44,10188
INV313487,S0010,RED WOOLLY HOTTIE WHITE HEART,9,2024-09-15,24.68,10041
INV196781,S0001,REGENCY CAKESTAND 3 TIER,14,2024-05-21,2.68,10157
INV908577,S0010,RED WOOLLY HOTTIE WHITE HEART,5,2024-11-22,49.0,10015
INV877236,S0005,SET OF 3 CAKE TINS PANTRY DESIGN,15,2024-10-09,35.43,10065
INV110139,S0017,PAPER CHAIN KIT 50S CHRISTMAS,4,2024-02-08,47.28,10009
INV672092,S0004,LUNCH BAG RED RETROSPOT,2,2024-07-08,29.33,10129
INV550664,S0004,LUNCH BAG RED RETROSPOT,5,2024-01-22,15.76,10136
INV475190,S0001,REGENCY CAKESTAND 3 TIER,7,2024-12-15,12.85,10063
INV470858,S0003,PARTY BUNTING,18,2024-07-27,48.7,10139
INV348237,S0004,LUNCH BAG RED RETROSPOT,6,2024-03-31,44.13,10081
INV288073,S0000,WHITE HANGING HEART T-LIGHT HOLDER,11,2024-07-29,40.21,10163
INV379766,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,6,2024-12-25,5.85,10289
INV593554,S0001,REGENCY CAKESTAND 3 TIER,8,2024-04-12,40.92,10261
INV466643,S0014,DOORMAT NEW ENGLAND,10,2024-04-26,11.53,10231
INV517821,S0006,WOODEN PICTURE FRAME WHITE FINISH,11,2024-05-22,43.29,10041
INV468203,S0008,CREAM CUPID HEARTS COAT HANGER,17,2024-07-23,34.14,10028
INV447235,S0017,PAPER CHAIN KIT 50S CHRISTMAS,1,2024-02-29,43.91,10135
INV287241,S0008,CREAM CUPID HEARTS COAT HANGER,19,2024-05-15,2.39,10201
INV555673,S0019,MINI PAINT SET VINTAGE,12,2024-06-09,22.1,10268
INV221263,S0016,VINTAGE BILLBOARD DRINK ME MUG,13,2024-10-22,9.91,10033
INV843215,S0001,REGENCY CAKESTAND 3 TIER,14,2024-01-01,26.24,10048
INV820221,S0017,PAPER CHAIN KIT 50S CHRISTMAS,7,2024-07-05,21.85,10062
INV753425,S0010,RED WOOLLY HOTTIE WHITE HEART,11,2024-12-05,42.48,10216
INV631756,S0009,JAM MAKING SET WITH JARS,10,2024-12-07,20.72,10293
INV831076,S0012,SPOTTY BUNTING,10,2024-10-10,6.8,10099
INV797229,S0013,BATH BUILDING BLOCK WORD,13,2024-12-12,37.53,10172
INV745414,S0005,SET OF 3 CAKE TINS PANTRY DESIGN,19,2024-06-03,20.6,10214
INV418635,S0000,WHITE HANGING HEART T-LIGHT HOLDER,10,2024-04-17,21.78,10035
INV736130,S0018,BROCADE RING PURSE,11,2024-08-26,22.37,10227
INV636004,S0006,WOODEN PICTURE FRAME WHITE FINISH,16,2024-03-27,33.11,10101
INV640490,S0009,JAM MAKING SET WITH JARS,20,2024-06-20,5.12,10131
INV805477,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,10,2024-04-25,40.42,10257
INV125611,S0004,LUNCH BAG RED RETROSPOT,2,2024-05-05,49.2,10005
INV991014,S0019,MINI PAINT SET VINTAGE,3,2024-08-21,21.01,10218
INV303880,S0018,BROCADE RING PURSE,13,2024-09-10,20.28,10255
INV787926,S0004,LUNCH BAG RED RETROSPOT,1,2024-02-24,39.03,10283
INV284430,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,17,2024-08-25,2.99,10207
INV989545,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,4,2024-08-21,7.1,10015
INV800005,S0014,DOORMAT NEW ENGLAND,17,2024-10-13,29.97,10042
INV742412,S0014,DOORMAT NEW ENGLAND,17,2024-08-06,41.61,10179
INV567574,S0017,PAPER CHAIN KIT 50S CHRISTMAS,6,2024-08-31,22.78,10063
INV980660,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,9,2024-09-23,24.49,10231
INV387936,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,15,2024-02-09,35.82,10241
INV384913,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,11,2024-06-12,44.7,10052
INV245095,S0002,JUMBO BAG RED RETROSPOT,5,2024-04-28,19.46,10096
INV840734,S0004,LUNCH BAG RED RETROSPOT,7,2024-02-02,21.04,10222
INV668969,S0010,RED WOOLLY HOTTIE WHITE HEART,15,2024-07-31,3.58,10231
INV508396,S0013,BATH BUILDING BLOCK WORD,19,2024-12-22,1.47,10237
INV498858,S0018,BROCADE RING PURSE,16,2024-01-04,47.17,10143
INV890075,S0009,JAM MAKING SET WITH JARS,13,2024-08-02,27.14,10171
INV938722,S0017,PAPER CHAIN KIT 50S CHRISTMAS,20,2024-04-22,24.67,10029
INV557007,S0008,CREAM CUPID HEARTS COAT HANGER,16,2024-01-15,19.75,10036
INV859359,S0012,SPOTTY BUNTING,6,2024-08-27,46.02,10013
INV660069,S0019,MINI PAINT SET VINTAGE,1,2024-07-20,29.8,10160
INV188025,S0000,WHITE HANGING HEART T-LIGHT HOLDER,14,2024-03-10,43.41,10187
INV152727,S0005,SET OF 3 CAKE TINS PANTRY DESIGN,9,2024-07-13,16.7,10243
INV442722,S0014,DOORMAT NEW ENGLAND,11,2024-07-13,14.27,10086
INV364525,S0013,BATH BUILDING BLOCK WORD,3,2024-08-28,1.46,10284
INV154615,S0017,PAPER CHAIN KIT 50S CHRISTMAS,12,2024-04-24,32.68,10066
INV890870,S0001,REGENCY CAKESTAND 3 TIER,1,2024-05-06,10.37,10170
INV751517,S0000,WHITE HANGING HEART T-LIGHT HOLDER,5,2024-05-02,6.75,10045
INV691364,S0003,PARTY BUNTING,7,2024-08-26,35.12,10062
INV275939,S0011,ALARM CLOCK BAKELIKE GREEN,20,2024-11-06,48.2,10134
INV915573,S0003,PARTY BUNTING,6,2024-06-08,5.85,10284
INV427110,S0000,WHITE HANGING HEART T-LIGHT HOLDER,19,2024-12-12,45.45,10028
INV515922,S0012,SPOTTY BUNTING,7,2024-02-08,29.81,10108
INV206851,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,10,2024-12-16,30.22,10044
INV934904,S0003,PARTY BUNTING,19,2024-01-22,17.69,10286
INV793655,S0013,BATH BUILDING BLOCK WORD,12,2024-02-05,25.55,10128
INV113266,S0010,RED WOOLLY HOTTIE WHITE HEART,14,2024-09-07,5.72,10231
INV766459,S0011,ALARM CLOCK BAKELIKE GREEN,15,2024-12-28,8.07,10190
INV869440,S0005,SET OF 3 CAKE TINS PANTRY DESIGN,17,2024-11-29,13.87,10225
INV912270,S0017,PAPER CHAIN KIT 50S CHRISTMAS,16,2024-08-26,22.06,10283
INV381433,S0018,BROCADE RING PURSE,11,2024-05-05,41.62,10121
INV392477,S0002,JUMBO BAG RED RETROSPOT,15,2024-05-04,37.65,10116
INV739979,S0018,BROCADE RING PURSE,13,2024-06-21,1.92,10233
INV290672,S0010,RED WOOLLY HOTTIE WHITE HEART,16,2024-04-18,18.06,10259
INV456871,S0008,CREAM CUPID HEARTS COAT HANGER,9,2024-11-01,35.21,10198
INV682789,S0008,CREAM CUPID HEARTS COAT HANGER,1,2024-09-21,47.43,10137
INV353080,S0002,JUMBO BAG RED RETROSPOT,14,2024-09-07,27.98,10165
INV824156,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,16,2024-11-26,35.74,10225
INV931450,S0014,DOORMAT NEW ENGLAND,1,2024-02-17,15.06,10234
INV825391,S0012,SPOTTY BUNTING,8,2024-06-05,33.37,10172
INV596249,S0011,ALARM CLOCK BAKELIKE GREEN,18,2024-09-28,17.52,10152
INV446859,S0017,PAPER CHAIN KIT 50S CHRISTMAS,12,2024-12-25,22.96,10160
INV363615,S0009,JAM MAKING SET WITH JARS,8,2024-03-02,36.2,10096
INV225362,S0010,RED WOOLLY HOTTIE WHITE HEART,18,2024-12-19,9.66,10233
INV874483,S0006,WOODEN PICTURE FRAME WHITE FINISH,16,2024-05-21,36.37,10180
INV725780,S0016,VINTAGE BILLBOARD DRINK ME MUG,10,2024-02-21,41.72,10113
INV338533,S0009,JAM MAKING SET WITH JARS,12,2024-04-01,15.46,10052
INV232731,S0017,PAPER CHAIN KIT 50S CHRISTMAS,9,2024-01-24,48.73,10268
INV406327,S0017,PAPER CHAIN KIT 50S CHRISTMAS,5,2024-11-22,43.49,10295
INV207570,S0015,SET 2 TEA TOWELS I LOVE LONDON,1,2024-10-20,14.57,10113
INV561865,S0015,SET 2 TEA TOWELS I LOVE LONDON,11,2024-04-04,48.29,10101
INV600935,S0008,CREAM CUPID HEARTS COAT HANGER,4,2024-02-03,20.34,10113
INV705050,S0002,JUMBO BAG RED RETROSPOT,2,2024-03-18,7.89,10081
INV418594,S0018,BROCADE RING PURSE,3,2024-05-07,6.36,10187
INV735770,S0013,BATH BUILDING BLOCK WORD,20,2024-11-12,11.67,10113
INV498855,S0016,VINTAGE BILLBOARD DRINK ME MUG,15,2024-08-14,15.22,10002
INV549660,S0018,BROCADE RING PURSE,10,2024-10-18,31.24,10130
INV876039,S0019,MINI PAINT SET VINTAGE,4,2024-04-16,31.46,10220
INV792509,S0008,CREAM CUPID HEARTS COAT HANGER,3,2024-03-21,12.37,10054
INV178711,S0017,PAPER CHAIN KIT 50S CHRISTMAS,6,2024-01-02,20.72,10224
INV592738,S0019,MINI PAINT SET VINTAGE,10,2024-01-17,11.96,10225
INV837135,S0009,JAM MAKING SET WITH JARS,15,2024-02-06,34.53,10126
INV926097,S0008,CREAM CUPID HEARTS COAT HANGER,19,2024-12-04,40.29,10130
INV545790,S0006,WOODEN PICTURE FRAME WHITE FINISH,4,2024-10-05,11.63,10053
INV378535,S0004,LUNCH BAG RED RETROSPOT,5,2024-02-06,3.45,10172
INV723948,S0009,JAM MAKING SET WITH JARS,19,2024-05-27,22.24,10218
INV822131,S0014,DOORMAT NEW ENGLAND,10,2024-12-24,20.42,10160
INV624783,S0008,CREAM CUPID HEARTS COAT HANGER,18,2024-09-09,22.17,10198
INV141797,S0019,MINI PAINT SET VINTAGE,14,2024-06-14,30.38,10247
INV195763,S0000,WHITE HANGING HEART T-LIGHT HOLDER,8,2024-12-11,41.88,10203
INV715643,S0018,BROCADE RING PURSE,1,2024-12-10,41.16,10184
INV142185,S0018,BROCADE RING PURSE,6,2024-08-28,26.19,10123
INV391668,S0014,DOORMAT NEW ENGLAND,6,2024-10-26,22.08,10255
INV195674,S0015,SET 2 TEA TOWELS I LOVE LONDON,16,2024-06-27,20.71,10294
INV802685,S0010,RED WOOLLY HOTTIE WHITE HEART,4,2024-03-23,16.83,10280
INV402218,S0015,SET 2 TEA TOWELS I LOVE LONDON,13,2024-10-08,2.32,10098
INV429795,S0002,JUMBO BAG RED RETROSPOT,9,2024-06-14,6.24,10198
INV639593,S0012,SPOTTY BUNTING,1,2024-12-02,43.53,10240
INV533321,S0014,DOORMAT NEW ENGLAND,2,2024-04-06,26.16,10144
INV893188,S0019,MINI PAINT SET VINTAGE,16,2024-11-16,22.38,10097
INV313446,S0001,REGENCY CAKESTAND 3 TIER,9,2024-10-08,6.99,10201
INV559398,S0009,JAM MAKING SET WITH JARS,16,2024-03-03,1.93,10124
INV938141,S0019,MINI PAINT SET VINTAGE,8,2024-12-29,8.34,10187
INV114338,S0017,PAPER CHAIN KIT 50S CHRISTMAS,18,2024-07-27,5.11,10259
INV583863,S0003,PARTY BUNTING,4,2024-11-27,41.69,10148
INV851413,S0015,SET 2 TEA TOWELS I LOVE LONDON,10,2024-09-17,35.42,10252
INV975271,S0013,BATH BUILDING BLOCK WORD,16,2024-08-29,12.56,10147
INV251668,S0017,PAPER CHAIN KIT 50S CHRISTMAS,13,2024-04-07,46.13,10148
INV882544,S0016,VINTAGE BILLBOARD DRINK ME MUG,5,2024-02-05,14.17,10199
INV456385,S0013,BATH BUILDING BLOCK WORD,17,2024-05-16,41.12,10128
INV861319,S0009,JAM MAKING SET WITH JARS,10,2024-10-27,29.21,10039
INV255813,S0015,SET 2 TEA TOWELS I LOVE LONDON,15,2024-10-02,24.47,10129
INV678727,S0010,RED WOOLLY HOTTIE WHITE HEART,18,2024-07-12,23.04,10267
INV297816,S0010,RED WOOLLY HOTTIE WHITE HEART,8,2024-10-19,19.46,10151
INV145767,S0013,BATH BUILDING BLOCK WORD,11,2024-08-30,35.41,10298
INV504832,S0012,SPOTTY BUNTING,5,2024-09-10,48.26,10099
INV626690,S0004,LUNCH BAG RED RETROSPOT,19,2024-06-18,43.55,10263
INV204555,S0014,DOORMAT NEW ENGLAND,17,2024-08-21,1.26,10252
INV529893,S0004,LUNCH BAG RED RETROSPOT,5,2024-02-08,23.74,10144
INV455007,S0008,CREAM CUPID HEARTS COAT HANGER,20,2024-12-20,20.18,10112
INV993140,S0002,JUMBO BAG RED RETROSPOT,11,2024-12-11,43.04,10060
INV432043,S0012,SPOTTY BUNTING,16,2024-10-04,2.28,10002
INV346174,S0002,JUMBO BAG RED RETROSPOT,10,2024-04-26,37.46,10254
INV203225,S0013,BATH BUILDING BLOCK WORD,4,2024-08-15,8.74,10140
INV130353,S0009,JAM MAKING SET WITH JARS,2,2024-06-15,39.91,10037
INV475876,S0009,JAM MAKING SET WITH JARS,12,2024-08-08,7.71,10160
INV532067,S0016,VINTAGE BILLBOARD DRINK ME MUG,19,2024-12-15,39.73,10009
INV283573,S0005,SET OF 3 CAKE TINS PANTRY DESIGN,3,2024-11-08,43.61,10233
INV816318,S0019,MINI PAINT SET VINTAGE,8,2024-09-11,45.69,10099
INV343467,S0004,LUNCH BAG RED RETROSPOT,15,2024-11-22,13.07,10147
INV799233,S0008,CREAM CUPID HEARTS COAT HANGER,1,2024-08-26,45.11,10208
INV265649,S0017,PAPER CHAIN KIT 50S CHRISTMAS,3,2024-08-14,47.29,10131
INV413685,S0018,BROCADE RING PURSE,14,2024-12-19,12.88,10152
INV308894,S0009,JAM MAKING SET WITH JARS,13,2024-09-04,5.78,10054
INV699704,S0012,SPOTTY BUNTING,12,2024-10-21,15.15,10120
INV123005,S0009,JAM MAKING SET WITH JARS,13,2024-05-20,0.9,10161
INV735863,S0001,REGENCY CAKESTAND 3 TIER,16,2024-05-26,38.9,10116
INV736553,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,12,2024-04-22,32.01,10075
INV362801,S0019,MINI PAINT SET VINTAGE,5,2024-11-17,5.31,10113
INV423939,S0001,REGENCY CAKESTAND 3 TIER,15,2024-01-18,29.19,10104
INV194511,S0004,LUNCH BAG RED RETROSPOT,10,2024-06-16,37.5,10254
INV310548,S0005,SET OF 3 CAKE TINS PANTRY DESIGN,5,2024-10-03,43.88,10227
INV656639,S0011,ALARM CLOCK BAKELIKE GREEN,17,2024-05-19,41.61,10112
INV964749,S0008,CREAM CUPID HEARTS COAT HANGER,16,2024-05-31,37.45,10099
INV943298,S0010,RED WOOLLY HOTTIE WHITE HEART,4,2024-08-27,48.16,10153
INV890785,S0004,LUNCH BAG RED RETROSPOT,8,2024-12-12,36.35,10194
INV986827,S0012,SPOTTY BUNTING,18,2024-07-06,4.97,10163
INV114594,S0012,SPOTTY BUNTING,9,2024-10-01,6.62,10208
INV805511,S0011,ALARM CLOCK BAKELIKE GREEN,9,2024-10-26,19.36,10169
INV213609,S0011,ALARM CLOCK BAKELIKE GREEN,8,2024-08-29,1.74,10161
INV443939,S0017,PAPER CHAIN KIT 50S CHRISTMAS,20,2024-04-23,32.56,10068
INV835132,S0014,DOORMAT NEW ENGLAND,10,2024-11-28,20.71,10289
INV147549,S0004,LUNCH BAG RED RETROSPOT,2,2024-06-04,49.8,10277
INV201913,S0003,PARTY BUNTING,8,2024-10-02,7.22,10135
INV489033,S0014,DOORMAT NEW ENGLAND,18,2024-08-02,29.57,10195
INV535037,S0004,LUNCH BAG RED RETROSPOT,4,2024-09-07,30.97,10128
INV134305,S0008,CREAM CUPID HEARTS COAT HANGER,12,2024-04-21,22.45,10033
INV997004,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,12,2024-02-20,49.06,10176
INV670913,S0011,ALARM CLOCK BAKELIKE GREEN,12,2024-02-01,20.21,10022
INV228093,S0006,WOODEN PICTURE FRAME WHITE FINISH,15,2024-02-16,33.31,10238
INV122394,S0019,MINI PAINT SET VINTAGE,2,2024-06-19,12.56,10158
INV925206,S0004,LUNCH BAG RED RETROSPOT,19,2024-04-15,3.9,10038
INV317220,S0017,PAPER CHAIN KIT 50S CHRISTMAS,19,2024-04-20,40.75,10230
INV444519,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,5,2024-11-01,0.64,10051
INV236306,S0004,LUNCH BAG RED RETROSPOT,18,2024-05-08,40.03,10264
INV793169,S0003,PARTY BUNTING,1,2024-03-08,1.24,10283
INV717457,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,11,2024-01-09,9.13,10027
INV232915,S0001,REGENCY CAKESTAND 3 TIER,14,2024-09-26,6.13,10226
INV599380,S0002,JUMBO BAG RED RETROSPOT,15,2024-07-04,25.91,10277
INV573962,S0003,PARTY BUNTING,17,2024-04-23,47.3,10286
INV862569,S0001,REGENCY CAKESTAND 3 TIER,17,2024-06-03,23.17,10097
INV163780,S0000,WHITE HANGING HEART T-LIGHT HOLDER,16,2024-07-24,21.6,10284
INV614084,S0003,PARTY BUNTING,15,2024-02-07,45.01,10147
INV737846,S0010,RED WOOLLY HOTTIE WHITE HEART,5,2024-02-03,6.75,10004
INV763829,S0019,MINI PAINT SET VINTAGE,19,2024-10-07,35.75,10035
INV726410,S0012,SPOTTY BUNTING,17,2024-05-30,22.96,10192
INV551096,S0019,MINI PAINT SET VINTAGE,4,2024-12-25,6.16,10049
INV855855,S0017,PAPER CHAIN KIT 50S CHRISTMAS,7,2024-08-08,22.85,10017
INV533914,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,11,2024-08-20,20.24,10172
INV427730,S0003,PARTY BUNTING,14,2024-06-09,33.42,10220
INV260053,S0011,ALARM CLOCK BAKELIKE GREEN,16,2024-02-04,5.02,10158
INV197758,S0002,JUMBO BAG RED RETROSPOT,14,2024-02-19,37.36,10046
INV951201,S0011,ALARM CLOCK BAKELIKE GREEN,5,2024-10-11,3.47,10006
INV688967,S0017,PAPER CHAIN KIT 50S CHRISTMAS,11,2024-12-09,6.55,10099
INV797660,S0011,ALARM CLOCK BAKELIKE GREEN,14,2024-01-27,48.44,10233
INV427626,S0019,MINI PAINT SET VINTAGE,12,2024-02-23,29.11,10037
INV262246,S0006,WOODEN PICTURE FRAME WHITE FINISH,16,2024-04-24,42.44,10280
INV986438,S0011,ALARM CLOCK BAKELIKE GREEN,18,2024-07-07,6.19,10181
INV701987,S0008,CREAM CUPID HEARTS COAT HANGER,8,2024-08-07,42.34,10095
INV743378,S0019,MINI PAINT SET VINTAGE,18,2024-01-14,30.65,10099
INV130359,S0008,CREAM CUPID HEARTS COAT HANGER,6,2024-05-19,35.28,10188
INV456331,S0009,JAM MAKING SET WITH JARS,12,2024-01-04,9.48,10116
INV693830,S0004,LUNCH BAG RED RETROSPOT,13,2024-02-05,7.52,10191
INV196214,S0000,WHITE HANGING HEART T-LIGHT HOLDER,17,2024-04-20,19.12,10253
INV457455,S0014,DOORMAT NEW ENGLAND,6,2024-07-08,15.93,10161
INV914571,S0010,RED WOOLLY HOTTIE WHITE HEART,19,2024-11-01,4.71,10256
INV263137,S0001,REGENCY CAKESTAND 3 TIER,6,2024-11-12,2.96,10128
INV385320,S0002,JUMBO BAG RED RETROSPOT,15,2024-12-04,21.49,10018
INV563516,S0019,MINI PAINT SET VINTAGE,14,2024-05-19,11.17,10281
INV219346,S0016,VINTAGE BILLBOARD DRINK ME MUG,12,2024-08-08,5.99,10223
INV610271,S0018,BROCADE RING PURSE,17,2024-12-07,15.77,10054
INV514463,S0007,KNITTED UNION FLAG HOT WATER BOTTLE,20,2024-01-29,0.88,10058
INV321494,S0009,JAM MAKING SET WITH JARS,5,2024-05-10,14.83,10174
INV108105,S0003,PARTY BUNTING,16,2024-08-08,9.2,10280
INV658453,S0012,SPOTTY BUNTING,8,2024-09-13,28.16,10114
INV175576,S0011,ALARM CLOCK BAKELIKE GREEN,13,2024-01-22,22.09,10288
INV181644,S0014,DOORMAT NEW ENGLAND,11,2024-10-21,21.75,10151
INV843963,S0012,SPOTTY BUNTING,14,2024-05-28,6.2,10127
INV440544,S0000,WHITE HANGING HEART T-LIGHT HOLDER,6,2024-11-12,23.27,10155
INV192410,S0011,ALARM CLOCK BAKELIKE GREEN,14,2024-02-24,12.54,10273
INV519902,S0018,BROCADE RING PURSE,17,2024-02-10,20.09,10104
INV882033,S0009,JAM MAKING SET WITH JARS,11,2024-04-23,16.99,10299
INV180089,S0005,SET OF 3 CAKE TINS PANTRY DESIGN,17,2024-11-20,6.14,10246
INV303322,S0016,VINTAGE BILLBOARD DRINK ME MUG,12,2024-06-28,36.51,10176
INV347745,S0004,LUNCH BAG RED RETROSPOT,4,2024-03-15,13.17,10039
INV731661,S0005,SET OF 3 CAKE TINS PANTRY DESIGN,5,2024-12-01,4.23,10170
INV586490,S0015,SET 2 TEA TOWELS I LOVE LONDON,19,2024-10-23,22.72,10247
INV774225,S0018,BROCADE RING PURSE,20,2024-06-14,43.28,10026
INV258290,S0010,RED WOOLLY HOTTIE WHITE HEART,15,2024-02-04,23.71,10013
INV935012,S0009,JAM MAKING SET WITH JARS,9,2024-10-29,3.28,10036
INV177794,S0016,VINTAGE BILLBOARD DRINK ME MUG,10,2024-08-24,22.87,10173
INV486649,S0001,REGENCY CAKESTAND 3 TIER,10,2024-02-09,32.41,10020
